지점,평가그룹,영업팀,채널,유통,순위,Gross 실판 전년마감,Gross 실판 전년동기,Gross 실판 목표,Gross 실판,Gross 실판 전년마감比,Gross 실판 전년동기比,Gross 실판 목표比,Gross 실판점수,Gross 실판 평점,Gross 총판 전년마감,Gross 총판 전년동기,Gross 총판 목표,Gross 총판,Gross 총판 전년마감比,Gross 총판 전년동기比,Gross 총판 목표比
(신)이마트 E/T스타필드하남점,대형마트담당이마트,혼매강남팀,이마트,대형마트,37/37,751.567854,751.567854,741.4511858,185.3944067,-0.753323129,-0.753323129,0.250042633,30,3,751.567854,751.567854,741.4511858,194.4292187,-0.741301843,-0.741301843,0.262227942
(신)이마트 분당점,대형마트담당이마트,혼매강남팀,이마트,대형마트,14/37,223.8047546,223.8047546,220.7921743,766.5722844,2.425183195,2.425183195,3.47191782,100,10,223.8047546,223.8047546,220.7921743,764.6420129,2.416558394,2.416558394,3.463175338
(신)이마트 성남점,대형마트담당이마트,혼매강남팀,이마트,대형마트,7/37,147.7721572,147.7721572,145.7830329,230.6023804,0.560526589,0.560526589,1.581819062,100,10,147.7721572,147.7721572,145.7830329,229.392544,0.552339415,0.552339415,1.573520179
(신)이마트 하남점,대형마트담당이마트,혼매강남팀,이마트,대형마트,6/37,162.6003592,162.6003592,160.4116361,227.1206774,0.396803048,0.396803048,1.41586161,100,10,162.6003592,162.6003592,160.4116361,237.203499,0.458812884,0.458812884,1.478717534
신 홈플러스 분당오리점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,04월 11일,53.98576578,53.98576578,57.00412,41.85781121,-0.224650969,-0.224650969,0.73429449,73.42944898,7.342944898,53.98576578,53.98576578,57.00412,40.21474011,-0.255086234,-0.255086234,0.705470764
(신)이마트 명일점,대형마트담당이마트,혼매강남팀,이마트,대형마트,35/37,114.1934232,114.1934232,112.6562939,53.07158903,-0.535248287,-0.535248287,0.471092978,47.10929784,4.710929784,114.1934232,114.1934232,112.6562939,55.33522509,-0.515425464,-0.515425464,0.491186273
(신)이마트 양재점,대형마트담당이마트,혼매강남팀,이마트,대형마트,23/37,84.03512106,84.03512106,82.90394516,183.0218514,1.177920958,1.177920958,2.207637418,100,10,84.03512106,84.03512106,82.90394516,185.6916818,1.20969137,1.20969137,2.239841318
이마트 E/T스타필드위례점,대형마트담당이마트,혼매강남팀,이마트,대형마트,36/37,660.0241677,660.0241677,651.1397463,227.0561909,-0.655988065,-0.655988065,0.348705777,30,3,660.0241677,660.0241677,651.1397463,219.0706526,-0.668086923,-0.668086923,0.336441837
신 홈플러스 강동점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,03월 11일,185.19873,185.19873,195.5532255,142.3668128,-0.231275437,-0.231275437,0.728020785,72.80207853,7.280207853,184.423751,184.423751,195.5532255,149.0883014,-0.191599235,-0.191599235,0.762392443
신 홈플러스 잠실점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,10월 11일,47.84570726,47.84570726,50.52076967,13.30547139,-0.721908774,-0.721908774,0.263366364,30,3,46.18597926,46.18597926,50.52076967,13.30547139,-0.711915356,-0.711915356,0.263366364
(신)이마트 천호점,대형마트담당이마트,혼매강남팀,이마트,대형마트,22/37,167.5329004,167.5329004,165.2777817,101.8321476,-0.392166271,-0.392166271,0.616127265,61.6127265,6.16127265,167.5329004,167.5329004,165.2777817,98.34683014,-0.41297005,-0.41297005,0.59503963
(신)이마트 평촌점,대형마트담당이마트,혼매강남팀,이마트,대형마트,16/37,178.1687422,178.1687422,175.770457,488.0290619,1.739139626,1.739139626,2.776513586,100,10,178.1687422,178.1687422,175.770457,493.0533528,1.767339247,1.767339247,2.805097974
이마트 E/T군포점,대형마트담당이마트,혼매강남팀,이마트,대형마트,21/37,141.6758928,141.6758928,139.7688288,279.6741928,0.974042212,0.974042212,2.000976864,100,10,141.6758928,141.6758928,139.7688288,281.1263183,0.984291842,0.984291842,2.011366345
신 홈플러스 서울남현점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,08월 11일,71.56670603,71.56670603,75.5680139,42.17168053,-0.410736041,-0.410736041,0.558062576,55.80625764,5.580625764,73.22643403,73.22643403,75.5680139,41.18304453,-0.437593199,-0.437593199,0.544979845
신 홈플러스 평촌점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,09월 11일,68.12506316,68.12506316,71.93394815,57.37269501,-0.157832781,-0.157832781,0.797574671,79.75746707,7.975746707,62.94719066,62.94719066,71.93394815,57.93898189,-0.07956207,-0.07956207,0.805446988
(신)이마트 가든5점,대형마트담당이마트,혼매강남팀,이마트,대형마트,19/37,62.91657201,62.91657201,62.06966765,94.27495347,0.498412111,0.498412111,1.518857069,100,10,62.91657201,62.91657201,62.06966765,93.70832646,0.489406105,0.489406105,1.509728181
(신)이마트 경기광주점,대형마트담당이마트,혼매강남팀,이마트,대형마트,29/37,188.7647191,188.7647191,186.223804,122.8570555,-0.349152447,-0.349152447,0.659727988,65.97279878,6.597279878,188.7647191,188.7647191,186.223804,132.093257,-0.300222745,-0.300222745,0.709325307
(신)이마트 산본점,대형마트담당이마트,혼매강남팀,이마트,대형마트,27/37,315.6247841,315.6247841,311.3762373,210.293854,-0.333721987,-0.333721987,0.675368987,67.53689871,6.753689871,315.6247841,315.6247841,311.3762373,209.0066382,-0.337800297,-0.337800297,0.671235031
(신)이마트 스타필드하남점,대형마트담당이마트,혼매강남팀,이마트,대형마트,11/37,537.6352788,537.6352788,530.3983039,667.5958947,0.241726354,0.241726354,1.258668985,100,10,537.6352788,537.6352788,530.3983039,717.234629,0.334054251,0.334054251,1.352256641
신 홈플러스 경기하남점,대형마트담당홈플러스,혼매강남팀,홈플러스,대형마트,02월 11일,16.63881862,16.63881862,17.56909807,16.09190561,-0.032869702,-0.032869702,0.915920985,91.5920985,9.15920985,14.64166474,14.64166474,17.56909807,17.37645061,0.186781074,0.186781074,0.989034869
(신)이마트 E/T안산신길점,대형마트담당이마트,혼매경기팀,이마트,대형마트,32/37,229.7156637,229.7156637,226.6235182,236.6544218,0.030205855,0.030205855,1.044262412,100,10,229.7156637,229.7156637,226.6235182,256.9412588,0.118518671,0.118518671,1.133780204
(신)이마트 고잔점,대형마트담당이마트,혼매경기팀,이마트,대형마트,8/37,173.2654364,173.2654364,170.9331534,295.4970164,0.70545853,0.70545853,1.728728515,100,10,173.2654364,173.2654364,170.9331534,289.0559758,0.668284118,0.668284118,1.69104688
(신)이마트 화성봉담점,대형마트담당이마트,혼매경기팀,이마트,대형마트,3/37,100.5505428,100.5505428,99.19705687,267.055454,1.655932495,1.655932495,2.692171143,100,10,100.5505428,100.5505428,99.19705687,266.9828141,1.655210073,1.655210073,2.691438864
E/T화서점,대형마트담당이마트,혼매경기팀,이마트,대형마트,24/37,264.9241273,264.9241273,261.3580494,150.7043062,-0.431141634,-0.431141634,0.576620106,57.66201062,5.766201062,264.9241273,264.9241273,261.3580494,158.788904,-0.40062498,-0.40062498,0.607553142
(신)이마트 동탄점,대형마트담당이마트,혼매경기팀,이마트,대형마트,31/37,180.8979336,180.8979336,178.4629114,148.8633573,-0.177086469,-0.177086469,0.834141706,83.41417056,8.341417056,180.8979336,180.8979336,178.4629114,151.5821964,-0.162056783,-0.162056783,0.849376463
(신)이마트 오산점,대형마트담당이마트,혼매경기팀,이마트,대형마트,12/37,203.9911323,203.9911323,201.2452584,192.8235017,-0.054745667,-0.054745667,0.958151776,95.81517758,9.581517758,203.9911323,203.9911323,201.2452584,194.6871377,-0.045609799,-0.045609799,0.967412297
(신)이마트 평택점,대형마트담당이마트,혼매경기팀,이마트,대형마트,26/37,205.8562502,205.8562502,203.0852703,135.3799367,-0.342356928,-0.342356928,0.666616227,66.66162273,6.666162273,205.8562502,205.8562502,203.0852703,155.1357373,-0.246388015,-0.246388015,0.76389458
일렉트로마트STF안성,대형마트담당이마트,혼매경기팀,이마트,대형마트,17/37,306.8144807,306.8144807,302.6845272,174.1551368,-0.432376411,-0.432376411,0.575368482,57.53684815,5.753684815,306.8144807,306.8144807,302.6845272,173.6555395,-0.434004747,-0.434004747,0.573717927
신 홈플러스 오산점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,06월 11일,73.93243889,73.93243889,78.06601533,51.47039701,-0.303818489,-0.303818489,0.65931887,65.931887,6.5931887,73.93243889,73.93243889,78.06601533,49.49606801,-0.330522992,-0.330522992,0.634028364
(신)이마트 E/T수원점,대형마트담당이마트,혼매경기팀,이마트,대형마트,34/37,232.2806605,232.2806605,229.1539882,109.9748383,-0.526543286,-0.526543286,0.479916755,47.99167545,4.799167545,232.2806605,232.2806605,229.1539882,112.2426743,-0.516779942,-0.516779942,0.489813314
(신)이마트 수원점,대형마트담당이마트,혼매경기팀,이마트,대형마트,1/37,258.6597811,258.6597811,255.178026,340.6319173,0.316911024,0.316911024,1.334879506,100,10,258.6597811,258.6597811,255.178026,336.6502046,0.301517395,0.301517395,1.31927584
