지점,평가그룹,영업팀,채널,유통,채널 M&B Gross 총판 신장율,목표,Gross총판,달성율,지급율,상위구간달성목표,구독총판,구독총판 모수,구독총판 비중,구독비중 추가지급 결과,지점MB전년마감Gross 총판,지점MB전년동기Gross 총판,지점MB당월Gross 총판,지점MB전년동기比Gross 총판신장율,지점전년마감Gross 총판,지점전년동기Gross 총판,지점당월Gross 총판,지점전년동기比Gross 총판신장율,조건1,조건2,신규점_MB비중,신규점_MB비중 채널比,수당 100% 지급조건 결과,최종 지급율,Gross실판 가전,Gross실판 IT,Gross실판 가전+IT,가전비중,IT비중,가전수당,IT수당,계
신 홈플러스 청주성안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,6.40,0.00,0.0%,0.0%,6.40,0,0,,X,0.00,0.00,0.00,M&B미판매점,3.39,3.39,0.00,미판매점,M&B미판매점,M&B미판매점,,,50.0%,0.0%,0.00,0.00,0.00,,,,,
(신)이마트 천안서북점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,61.96,31.96,51.6%,0.0%,30.00,2,16,12.5%,X,10.22,8.52,2.73,-68.0%,83.60,68.78,31.96,-53.5%,-14.5%,-92.5%,,,50.0%,0.0%,38.47,0.47,38.94,98.8%,1.2%,,,
(신)이마트 천안터미널점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,21.90,19.80,90.4%,0.0%,2.10,0,12,0.0%,X,0.00,0.00,0.75,,25.43,18.87,19.80,5.0%,,,,,100.0%,0.0%,21.74,0.00,21.74,100.0%,0.0%,,,
신 홈플러스 동청주점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,44.01,87.86,199.7%,1.2%,최대지급율,1,37,2.7%,X,4.45,2.73,8.23,201.8%,40.87,29.39,87.86,199.0%,2.8%,243.8%,,,100.0%,1.2%,93.40,0.00,93.40,100.0%,0.0%,"1,120,824 ",0 ,"1,120,824 "
(신)이마트 서산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,34.15,15.83,46.4%,0.0%,18.32,4,12,33.3%,X,4.21,0.90,0.99,9.7%,39.05,28.79,15.83,-45.0%,54.7%,-14.8%,,,100.0%,0.0%,15.34,0.00,15.34,100.0%,0.0%,,,
(신)이마트 청주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,71.74,58.65,81.8%,0.0%,13.09,3,26,11.5%,X,9.04,1.67,0.86,-48.6%,83.32,45.03,58.65,30.2%,-78.9%,-73.1%,,,50.0%,0.0%,53.38,4.03,57.41,93.0%,7.0%,,,
(신)이마트 충주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,53.87,49.51,91.9%,0.0%,4.36,10,30,33.3%,X,7.89,3.38,0.05,-98.6%,63.80,47.02,49.51,5.3%,-103.9%,-123.0%,,,50.0%,0.0%,49.65,0.00,49.65,100.0%,0.0%,,,
신 홈플러스 천안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,19.88,19.85,99.9%,0.0%,0.03,1,12,8.3%,X,1.74,0.00,1.63,#########,25.91,11.08,19.85,79.2%,#########,#########,,,100.0%,0.0%,19.85,0.00,19.85,100.0%,0.0%,,,
(신)이마트 보령점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,14.25,10.87,76.3%,0.0%,3.38,0,8,0.0%,X,2.43,2.45,0.00,M&B미판매점,17.66,13.30,10.87,-18.3%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,11.87,0.00,11.87,100.0%,0.0%,,,
신 홈플러스 논산점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,23.72,20.56,86.7%,0.0%,3.15,2,14,14.3%,X,0.00,0.00,1.90,,21.12,11.19,20.56,83.8%,,,,,100.0%,0.0%,20.56,0.00,20.56,100.0%,0.0%,,,
신 홈플러스 보령점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,14.48,2.32,16.0%,0.0%,12.16,0,2,0.0%,X,0.00,0.00,0.00,M&B미판매점,17.53,3.67,2.32,-36.7%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,2.32,0.00,2.32,100.0%,0.0%,,,
신 홈플러스 오창점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,-42.0%,31.43,18.31,58.3%,0.0%,13.12,0,11,0.0%,X,0.00,0.00,3.71,,21.86,14.89,18.31,23.0%,,,,,100.0%,0.0%,21.49,0.00,21.49,100.0%,0.0%,,,
전자랜드 분평점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,184.96,110.52,59.8%,0.0%,74.44,10,71,14.1%,X,12.10,4.92,8.10,64.8%,149.35,56.76,110.52,94.7%,-30.0%,32.2%,,,100.0%,0.0%,77.13,3.03,80.16,96.2%,3.8%,,,
전자랜드 쌍용점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,126.00,75.99,60.3%,0.0%,50.01,19,51,37.3%,X,10.01,4.91,13.17,168.2%,74.06,32.95,75.99,130.6%,37.6%,135.6%,,,100.0%,0.0%,60.16,0.49,60.65,99.2%,0.8%,,,
전자랜드 천안메가마트점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,41.59,15.60,37.5%,0.0%,25.99,2,16,12.5%,X,1.56,0.00,0.00,M&B미판매점,29.54,16.88,15.60,-7.6%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,13.22,0.00,13.22,100.0%,0.0%,,,
전자랜드 커넥트현대 청주점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,209.48,108.81,51.9%,0.0%,100.67,9,58,15.5%,X,0.00,0.00,10.61,,0.00,0.00,108.81,,신규점,신규점,0.0975358,-0.009079,50.0%,0.0%,53.40,1.93,55.33,96.5%,3.5%,,,
전자랜드 서산점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,72.34,34.11,47.2%,0.0%,38.23,0,30,0.0%,X,2.22,0.98,2.45,149.1%,49.86,21.48,34.11,58.8%,90.3%,116.6%,,,100.0%,0.0%,35.13,2.07,37.20,94.4%,5.6%,,,
전자랜드 아산점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,50.74,28.69,56.5%,0.0%,22.06,3,20,15.0%,X,0.87,0.00,6.87,,36.40,24.75,28.69,15.9%,,,,,100.0%,0.0%,27.04,-11.17,15.87,100.0%,0.0%,,,
전자랜드 홍성점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,32.6%,83.40,27.49,33.0%,0.0%,55.90,4,21,19.0%,X,2.18,1.32,0.00,M&B미판매점,41.43,26.43,27.49,4.0%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,31.16,0.00,31.16,100.0%,0.0%,,,
