지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 서수원점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"160,000 ","20,000 ",0 ,0 ,"10,000 ","30,000 ",0 ,0 ,0 ,0 ,0 ,0 ,"200,000 ","420,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"420,000 ",2,1,0,0,1,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,7
일렉트로마트 STF화서,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"80,000 ","20,000 ",0 ,"130,000 ","20,000 ","90,000 ","100,000 ",0 ,"40,000 ",0 ,0 ,"20,000 ","260,000 ","760,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"760,000 ",2,1,0,1,2,3,2,0,2,0,0,2,3,18,0,0,0,0,0,0,0,18
신 홈플러스 서수원점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신 홈플러스 경산점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,"20,000 ",0 ,"30,000 ",0 ,0 ,"60,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"60,000 ",0,0,0,0,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,4
신 홈플러스 대구수성점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,"10,000 ","30,000 ",0 ,0 ,"51,500 ",0 ,0 ,0 ,0 ,"91,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"91,500 ",0,0,0,0,2,2,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,7
신 홈플러스 상인점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,"45,000 ",0 ,0 ,"1,500 ","1,800 ",0 ,0 ,"80,000 ","128,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"128,300 ",0,0,0,0,0,2,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,5
신 홈플러스 죽도점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신 홈플러스 포항점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"40,000 ",0 ,0 ,0 ,"160,000 ","200,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"200,000 ",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2
(신)이마트 김천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"20,000 ",0 ,0 ,0 ,"80,000 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 ",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2
(신)이마트 동구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"10,000 ","60,000 ",0 ,"155,000 ","20,000 ","15,000 ",0 ,0 ,"20,000 ",0 ,0 ,"10,000 ","80,000 ","370,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"370,000 ",1,3,0,3,3,1,0,0,1,0,0,1,1,14,0,0,0,0,0,0,0,14
(신)이마트 상주점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0 ,0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,000 ",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
