지점,평가그룹,영업팀,채널,유통,경쟁력 전년누적실판M/S,경쟁력 당월채널실판M/S,경쟁력 당월실판가전+ITM/S,경쟁력 전년누적比,경쟁력 전년누적比점수,경쟁력 전년누적比평점,경쟁력 당월채널比,경쟁력 당월채널比점수,경쟁력 당월채널比평점,경쟁력 당월채널총판M/S,경쟁력 당월총판가전+ITM/S,경쟁력 당월채널比
전자랜드 우현점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.665841341,0.520357993,0.431637832,-0.234203509,40,6,-0.088720161,30,4.5,0.577982766,0.558441558,-0.019541208
전자랜드 현대시티아울렛 대구점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.780788833,0.520357993,0.801753331,0.020964497,100,15,0.281395337,100,15,0.577982766,0.866666667,0.288683901
전자랜드 광평점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.437499037,0.520357993,0.407550733,-0.029948304,40,6,-0.112807261,30,4.5,0.577982766,0.543956044,-0.034026722
전자랜드 김천점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.446933347,0.520357993,0.421492983,-0.025440364,40,6,-0.098865011,30,4.5,0.577982766,0.50862069,-0.069362076
전자랜드 오광장점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.560636161,0.520357993,0.482055333,-0.078580827,40,6,-0.03830266,30,4.5,0.577982766,0.519572954,-0.058409812
전자랜드 죽전점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.63703461,0.520357993,0.4899449,-0.14708971,40,6,-0.030413094,30,4.5,0.577982766,0.566037736,-0.01194503
(신)이마트 E/T천안아산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.739379058,0.525000286,0.670763391,-0.068615666,100,15,0.145763106,100,15,0.525000286,0.670763391,0.145763106
(신)이마트 아산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.99157176,0.525000286,1,0.00842824,평가제외,평가제외,0.474999714,평가제외,평가제외,0.525000286,1,0.474999714
(신)이마트 천안점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.491598433,0.525000286,0.477262626,-0.014335807,52.83209649,7.924814474,-0.04773766,30,4.5,0.525000286,0.477262626,-0.04773766
신 홈플러스 청주성안점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,0.797220267,0.703573138,-0.119769156,-0.916989423,40,6,-0.823342293,30,4.5,0.703573138,-0.119769156,-0.823342293
(신)이마트 천안서북점,충청담당이마트,혼매충청팀(A),이마트,대형마트,0.576391865,0.525000286,0.558742504,-0.017649361,51.17531937,7.676297906,0.033742218,100,15,0.525000286,0.558742504,0.033742218
