지점,평가그룹,영업팀,채널,유통,구독 목표,구독 실판,구독모수 실판,구독비중 실판,구독비중 실판,구독 목표比,구독 목표比 점수,구독 목표比 평점,구독비중 채널평균比,구독비중 채널평균比 점수,구독비중 채널평균比 평점,구독 목표,구독 총판,구독모수 총판,구독비중 총판,구독비중 총판,구독 목표比,구독비중 채널평균比
전자랜드 커넥트현대 청주점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,14,16,148,0.147619048,0.108108108,1.142857143,94.28571429,33,-0.03951094,30.24453024,1.512226512,14,16,55,0.158804671,0.290909091,1.142857143,0.13210442
전자랜드 서산점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,10,10,58,0.147619048,0.172413793,1,80,28,0.024794745,62.39737274,3.119868637,10,12,66,0.158804671,0.181818182,1.2,0.02301351
전자랜드 아산점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,7,4,56,0.147619048,0.071428571,0.571428571,40,14,-0.076190476,20,1,7,6,61,0.158804671,0.098360656,0.857142857,-0.060444016
전자랜드 홍성점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,7,2,42,0.147619048,0.047619048,0.285714286,40,14,-0.1,20,1,7,2,49,0.158804671,0.040816327,0.285714286,-0.117988345
(신)이마트 과천점,,혼매강남팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
(신)이마트 역삼점,,혼매강남팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
스타필드하남 몰리스샵점,,혼매강남팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
이마트 스타필드시티위례점,,혼매강남팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
이마트 일렉트로마트 의왕점,,혼매강남팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
신 홈플러스 안양점,,혼매강남팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
신 홈플러스 안산고잔점,,혼매경기팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
신 홈플러스 안산선부점,,혼매경기팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
신 홈플러스 화성동탄점,,혼매경기팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
(신)이마트 감삼점,,혼매경북팀,이마트,대형마트,0,0,0,0.151926177,,,0,0,0,0,0,0,0,0,0.170644197,,,
(신)이마트 안동점,,혼매경북팀,이마트,대형마트,0,0,3,0.151926177,0,,0,0,0,0,0,0,0,3,0.170644197,0,,-0.170644197
신 홈플러스 내당점,,혼매경북팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
신 홈플러스 대구스타디움점,,혼매경북팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
신 홈플러스 동촌점,,혼매경북팀,홈플러스,대형마트,0,0,0,0.173675762,,,0,0,0,0,0,0,0,0,0.167529107,,,
전자랜드 NC평촌점,,혼매강남팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 길동점,,혼매강남팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 반포점,,혼매강남팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 분당본점,,혼매강남팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 양재하나로마트점,,혼매강남팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 봉담하나로점,,혼매경기팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 서수원점,,혼매경기팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 수원정자점,,혼매경기팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 G7스퀘어점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 경주점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 달성하나로마트점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 송현점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 수성점_가전,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 영일대점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 영주점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 칠곡점_가전,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 형곡우리마트점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
전자랜드 동아쇼핑점,,혼매경북팀,전자랜드,양판,0,0,0,0.147619048,,,0,0,0,0,0,0,0,0,0.158804671,,,
