지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감실판,로봇청소기Gross 전년동기실판,로봇청소기Gross 당월실판,로봇청소기Gross 전년동기比,로봇청소기Gross 전년동기比평점,로봇청소기수량 전년마감실판,로봇청소기수량 전년동기실판,로봇청소기수량 목표,로봇청소기수량 당월실판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,로봇청소기수량 목표比평점,로봇청소기 평점,스타일러Gross 전년마감실판,스타일러Gross 전년동기실판,스타일러Gross 당월실판,스타일러Gross 전년동기比,스타일러Gross 전년동기比평점,스타일러수량 전년마감실판,스타일러수량 전년동기실판,스타일러수량 목표,스타일러수량 당월실판,스타일러수량 전년동기比,스타일러수량 목표比,스타일러수량 목표比평점,스타일러 평점,식기세척기Gross 전년마감실판,식기세척기Gross 전년동기실판,식기세척기Gross 당월실판,식기세척기Gross 전년동기比,식기세척기Gross 전년동기比평점,식기세척기수량 전년마감실판,식기세척기수량 전년동기실판,식기세척기수량 목표,식기세척기수량 당월실판,식기세척기수량 전년동기比,식기세척기수량 목표比,식기세척기수량 목표比평점,식기세척기 평점,스탠바이미Gross 전년마감실판,스탠바이미Gross 전년동기실판,스탠바이미Gross 당월실판,스탠바이미Gross 전년동기比,스탠바이미Gross 전년동기比평점,스탠바이미수량 전년마감실판,스탠바이미수량 전년동기실판,스탠바이미수량 목표,스탠바이미수량 당월실판,스탠바이미수량 전년동기比,스탠바이미수량 목표比,스탠바이미수량 목표比평점,스탠바이미 평점,M&B제품계Gross 전년마감실판,M&B제품계Gross 전년동기실판,M&B제품계Gross 당월실판,M&B제품계Gross 전년동기比,M&B제품계수량 전년마감실판,M&B제품계수량 전년동기실판,M&B제품계수량 당월실판,M&B제품계수량 전년동기比,M&B Gross 평점,M&B 수량 평점,M&B 평점
전자랜드 우현점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,4.9,0.0,0.0,,0.750,6.0,0.0,0.0,0.0,,,2.500,3.250,5.3,0.0,1.7,,2.500,3.0,0.0,0.0,1.0,,,2.500,5.000,7.4,2.3,3.1,35.0%,1.876,5.0,0.0,0.0,2.0,,,2.500,4.376,2.5,0.8,1.0,13.6%,1.340,3.0,1.0,0.0,1.0,0.0%,,2.500,3.840,20.2,3.1,5.7,82.2%,17.0,1.0,4.0,300.0%,6.466,10.000,16.466
전자랜드 현대시티아울렛 대구점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,3.1,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,0.8,0.0,2.1,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,0.8,0.0,7.0,,1.0,0.0,5.0,,8.250,10.000,18.250
전자랜드 광평점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,2.6,0.8,1.8,128.4%,2.500,3.0,1.0,0.0,1.0,0.0%,,2.500,5.000,5.3,3.5,1.8,-48.0%,0.750,3.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,3.4,2.3,6.3,172.2%,2.500,2.0,0.0,0.0,4.0,,,2.500,5.000,1.7,0.0,2.9,,2.500,2.0,0.0,0.0,3.0,,,2.500,5.000,13.0,6.6,12.8,92.6%,10.0,3.0,9.0,200.0%,8.250,10.000,18.250
전자랜드 김천점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,-100.0%,3.000,10.000,13.000
전자랜드 오광장점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,6.4,1.6,0.8,-50.0%,0.750,8.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,21.6,0.0,6.8,,2.500,14.0,0.0,0.0,4.0,,,2.500,5.000,17.0,6.1,16.7,172.7%,2.500,11.0,4.0,0.0,10.0,150.0%,,2.500,5.000,18.5,10.1,7.7,-24.3%,0.750,22.0,12.0,0.0,8.0,-33.3%,,2.500,3.250,63.5,17.8,32.0,79.5%,55.0,18.0,23.0,27.8%,6.500,10.000,16.500
전자랜드 죽전점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,2.8,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,10.4,3.5,3.3,-6.1%,0.750,6.0,2.0,0.0,2.0,0.0%,,2.500,3.250,6.2,2.8,3.1,11.0%,1.274,4.0,1.0,0.0,2.0,100.0%,,2.500,3.774,4.4,2.1,2.9,39.6%,1.990,5.0,2.0,0.0,3.0,50.0%,,2.500,4.490,21.0,8.4,12.2,44.1%,15.0,5.0,9.0,80.0%,6.514,10.000,16.514
(신)이마트 E/T천안아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,2.4,1.7,0.0,-100.0%,0.750,3.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,5.4,1.9,0.0,-100.0%,0.750,3.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,4.8,4.8,0.0,-100.0%,0.750,3.0,3.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.1,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,12.6,8.3,1.1,-86.4%,9.0,6.0,1.0,-83.3%,4.750,10.000,14.750
(신)이마트 아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 천안점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,3.6,1.9,3.9,112.4%,2.500,2.0,1.0,0.0,2.0,100.0%,,2.500,5.000,1.5,1.5,5.2,248.6%,2.500,1.0,1.0,0.0,3.0,200.0%,,2.500,5.000,2.9,0.9,0.0,-100.0%,0.750,3.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,8.9,5.1,9.2,80.1%,7.0,4.0,5.0,25.0%,6.500,10.000,16.500
신 홈플러스 청주성안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 천안서북점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,1.6,0.8,1.8,114.2%,2.500,2.0,1.0,0.0,1.0,0.0%,,2.500,5.000,1.6,1.6,1.7,8.2%,1.205,1.0,1.0,0.0,1.0,0.0%,,2.500,3.705,1.6,1.6,3.8,142.7%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,5.4,4.5,1.0,-78.1%,0.750,6.0,5.0,0.0,1.0,-80.0%,,2.500,3.250,10.2,8.5,8.3,-2.2%,10.0,8.0,5.0,-37.5%,6.955,10.000,16.955
(신)이마트 천안터미널점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.8,,0.0,0.0,1.0,,4.750,10.000,14.750
신 홈플러스 동청주점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.8,0.8,2.8,234.7%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,3.6,1.9,6.5,242.7%,2.500,2.0,1.0,0.0,4.0,300.0%,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,4.5,2.7,10.2,274.0%,3.0,2.0,7.0,250.0%,8.250,10.000,18.250
(신)이마트 서산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,3.3,0.0,0.0,,0.750,2.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,1.0,9.7%,1.242,1.0,1.0,0.0,1.0,0.0%,,2.500,3.742,4.2,0.9,1.0,9.7%,3.0,1.0,1.0,0.0%,3.492,10.000,13.492
(신)이마트 청주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,1.6,1.7,0.9,-48.6%,0.750,2.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,5.2,0.0,0.0,,0.750,3.0,0.0,0.0,0.0,,,2.500,3.250,1.4,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,9.0,1.7,0.9,-48.6%,7.0,2.0,1.0,-50.0%,3.000,10.000,13.000
(신)이마트 충주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,3.7,0.0,-1.9,,0.750,2.0,0.0,0.0,-1.0,,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.8,1.8,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,7.9,3.4,-1.9,-155.3%,6.0,3.0,-1.0,-133.3%,3.000,10.000,13.000
신 홈플러스 천안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.7,0.0,0.0,-100.0%,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.6,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.7,0.0,1.6,#########,1.0,0.0,1.0,,4.750,10.000,14.750
(신)이마트 보령점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.4,2.4,0.0,-100.0%,2.0,2.0,0.0,-100.0%,3.000,10.000,13.000
신 홈플러스 논산점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.9,,0.0,0.0,1.0,,4.750,10.000,14.750
신 홈플러스 보령점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
신 홈플러스 오창점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,3.7,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,0.0,0.0,1.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,5.6,,0.0,0.0,3.0,,6.500,10.000,16.500
전자랜드 분평점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,4.0,0.0,2.6,,2.500,4.0,0.0,0.0,2.0,,,2.500,5.000,8.5,1.8,4.7,165.2%,2.500,5.0,1.0,0.0,3.0,200.0%,,2.500,5.000,2.5,0.0,5.0,,2.500,2.0,0.0,0.0,3.0,,,2.500,5.000,0.0,0.0,1.0,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,15.0,1.8,13.3,648.4%,11.0,1.0,9.0,800.0%,10.000,10.000,20.000
전자랜드 쌍용점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,1.1,0.7,3.6,445.3%,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,8.9,5.3,3.8,-27.9%,0.750,5.0,3.0,0.0,2.0,-33.3%,,2.500,3.250,7.6,3.0,1.9,-37.4%,0.750,5.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,0.8,0.8,1.0,13.6%,1.340,1.0,1.0,0.0,1.0,0.0%,,2.500,3.840,18.4,9.9,10.3,4.3%,12.0,6.0,6.0,0.0%,5.340,10.000,15.340
전자랜드 천안메가마트점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,0.0,0.0,0.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,0.0,0.8,,1.0,0.0,1.0,,4.750,10.000,14.750
전자랜드 커넥트현대 청주점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,0.0,0.0,2.6,,평가제외,0.0,0.0,0.0,2.0,,,5.000,5.000,0.0,0.0,1.7,,평가제외,0.0,0.0,0.0,1.0,,,5.000,5.000,0.0,0.0,0.0,,평가제외,0.0,0.0,0.0,0.0,,,5.000,5.000,0.0,0.0,0.0,,평가제외,0.0,0.0,0.0,0.0,,,5.000,5.000,0.0,0.0,4.2,,0.0,0.0,3.0,,평가제외,20.000,20.000
전자랜드 서산점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,0.0,0.0,0.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.2,0.0,1.6,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.0,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,2.2,0.0,2.3,,2.0,0.0,2.0,,6.500,10.000,16.500
전자랜드 아산점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,0.0,0.0,2.6,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,1.8,0.0,2.3,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,-0.9,0.0,0.0,,0.750,-1.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.0,4.9,,0.0,0.0,3.0,,6.500,10.000,16.500
전자랜드 홍성점,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,4.0,2.1,0.0,-100.0%,0.750,4.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,1.6,1.3,-19.2%,0.750,1.0,1.0,0.0,1.0,0.0%,,2.500,3.250,0.0,0.0,1.0,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,5.5,3.7,2.2,-39.5%,5.0,2.0,2.0,0.0%,4.750,10.000,14.750
