지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감실판,로봇청소기Gross 전년동기실판,로봇청소기Gross 당월실판,로봇청소기Gross 전년동기比,로봇청소기Gross 전년동기比평점,로봇청소기수량 전년마감실판,로봇청소기수량 전년동기실판,로봇청소기수량 목표,로봇청소기수량 당월실판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,로봇청소기수량 목표比평점,로봇청소기 평점,스타일러Gross 전년마감실판,스타일러Gross 전년동기실판,스타일러Gross 당월실판,스타일러Gross 전년동기比,스타일러Gross 전년동기比평점,스타일러수량 전년마감실판,스타일러수량 전년동기실판,스타일러수량 목표,스타일러수량 당월실판,스타일러수량 전년동기比,스타일러수량 목표比,스타일러수량 목표比평점,스타일러 평점,식기세척기Gross 전년마감실판,식기세척기Gross 전년동기실판,식기세척기Gross 당월실판,식기세척기Gross 전년동기比,식기세척기Gross 전년동기比평점,식기세척기수량 전년마감실판,식기세척기수량 전년동기실판,식기세척기수량 목표,식기세척기수량 당월실판,식기세척기수량 전년동기比,식기세척기수량 목표比,식기세척기수량 목표比평점,식기세척기 평점,스탠바이미Gross 전년마감실판,스탠바이미Gross 전년동기실판,스탠바이미Gross 당월실판,스탠바이미Gross 전년동기比,스탠바이미Gross 전년동기比평점,스탠바이미수량 전년마감실판,스탠바이미수량 전년동기실판,스탠바이미수량 목표,스탠바이미수량 당월실판,스탠바이미수량 전년동기比,스탠바이미수량 목표比,스탠바이미수량 목표比평점,스탠바이미 평점,M&B제품계Gross 전년마감실판,M&B제품계Gross 전년동기실판,M&B제품계Gross 당월실판,M&B제품계Gross 전년동기比,M&B제품계수량 전년마감실판,M&B제품계수량 전년동기실판,M&B제품계수량 당월실판,M&B제품계수량 전년동기比,M&B Gross 평점,M&B 수량 평점,M&B 평점
(신)이마트 E/T비산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,5.4,1.8,3.7,108.5%,2.500,3.0,1.0,0.0,2.0,100.0%,,2.500,5.000,0.7,0.0,3.2,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,0.0,0.0,1.1,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,6.9,1.8,8.0,345.4%,5.0,1.0,5.0,400.0%,8.250,10.000,18.250
(신)이마트 만촌점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,1.4,1.4,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,7.1,5.3,6.7,25.1%,1.628,4.0,3.0,0.0,4.0,33.3%,,2.500,4.128,4.9,4.9,4.9,0.1%,1.003,3.0,3.0,0.0,3.0,0.0%,,2.500,3.503,1.8,0.9,1.0,9.7%,1.242,2.0,1.0,0.0,1.0,0.0%,,2.500,3.742,15.1,12.5,12.5,0.3%,11.0,9.0,8.0,-11.1%,4.623,10.000,14.623
(신)이마트 반야월점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.5,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,2.1,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,1.6,1.6,3.6,125.6%,1.0,1.0,3.0,200.0%,6.500,10.000,16.500
(신)이마트 영천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,1.8,0.0,1.9,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,1.5,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.8,0.0,4.2,,1.0,0.0,3.0,,8.250,10.000,18.250
(신)이마트 포항점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,3.1,1.6,0.0,-100.0%,0.750,2.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.0,2.2,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,4.8,2.4,2.2,-11.7%,4.0,2.0,2.0,0.0%,4.750,10.000,14.750
(신)이마트 경산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,1.8,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,2.9,0.0,3.7,,2.500,2.0,0.0,0.0,2.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.0,0.0,1.1,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,3.9,0.0,6.6,,3.0,0.0,4.0,,8.250,10.000,18.250
(신)이마트 월배점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,5.1,,2.500,0.0,0.0,0.0,3.0,,,2.500,5.000,0.7,0.7,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,4.5,0.9,3.4,275.0%,2.500,5.0,1.0,0.0,3.0,200.0%,,2.500,5.000,5.2,1.6,8.5,434.1%,6.0,2.0,6.0,200.0%,6.500,10.000,16.500
(신)이마트 이동점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,-0.8,0.0,0.0,,0.750,-1.0,0.0,0.0,0.0,,,2.500,3.250,0.3,1.8,5.1,188.9%,2.500,0.0,1.0,0.0,3.0,200.0%,,2.500,5.000,-0.3,1.3,0.0,-100.0%,0.750,0.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.1,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,-0.8,3.1,6.2,103.5%,-1.0,2.0,4.0,100.0%,6.500,10.000,16.500
(신)이마트 칠성점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,3.6,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,5.3,1.8,0.0,-100.0%,0.750,3.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,3.1,2.4,1.9,-21.6%,0.750,3.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,0.9,0.0,1.0,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,9.4,4.2,6.5,54.0%,7.0,3.0,4.0,33.3%,6.500,10.000,16.500
(신)이마트 구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,1.8,1.8,1.6,-7.5%,0.750,1.0,1.0,0.0,1.0,0.0%,,2.500,3.250,0.0,1.5,1.5,0.2%,1.005,0.0,1.0,0.0,1.0,0.0%,,2.500,3.505,2.8,1.8,0.0,-100.0%,0.750,3.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,5.4,5.1,3.1,-38.1%,5.0,4.0,2.0,-50.0%,3.255,10.000,13.255
신 홈플러스 문경점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
